Name,Country,LAT,LON
Arzew GNL 3Z LNG Plant Algeria,Algeria,35.80452,-0.24097
Arzew-GL1Z LNG Plant Algeria,Algeria,35.81237,-0.266489
Arzew-GL2Z LNG Plant Algeria,Algeria,35.81,-0.259678
Skikda Algeria LNG Plant Algeria,Algeria,36.8779,6.9415
Angola LNG Plant Angola,Angola,-6.11957,12.33596
Bahia Blanca GasPort (BBGP) Argentina,Argentina,-38.7855,-62.2869
GNL Escobar (Buenas Aires) FSRU LNG Terminal Argentina,Argentina,-34.2415,-58.7612
Darwin LNG Plant Australia,Australia,-12.5221,130.8663
Gladstone LNG Plant Australia,Australia,-23.776,151.2103
Queensland Curtis LNG Project Australia,Australia,-23.7693,151.199
Australia Pacific LNG Project Australia,Australia,-23.75583,151.19061
Pluto LNG Park Australia,Australia,-20.6128,116.76556
North West Shelf LNG Project Australia,Australia,-20.59424,116.7767
Gorgon LNG Plant Australia,Australia,-20.79,115.44965
Wheatstone LNG Plant Australia,Australia,-21.6978845,115.001141
Ichthys LNG Project Australia,Australia,-14.0555,122.7873
Prelude Floating LNG Project Australia,Australia,-14.33782,121.87
Zeebrugge LNG Terminal Belgium,Belgium,51.35488,3.22188
Bahia Salvador FSRU LNG Terminal Brazil,Brazil,-12.9812,-38.5586
Pecem FSRU LNG Terminal Brazil,Brazil,-3.53192,-38.79775
Guanabara Bay FSRU LNG Terminal Brazil,Brazil,-22.782922,-43.131995
Brunei LNG Terminal Brunei Darussalam,Brunei,4.6698,114.467
Canaport LNG Terminal Canada,Canada,45.2114,-65.978
Mejillones LNG terminal Chile,Chile,-23.0571,-70.367
Quintero LNG Terminal Chile,Chile,-32.7787,-71.49001
Putian Fujian CNOOC LNG Terminal China,China,25.2135,118.9983
Guangdong Dapeng CNOOC LNG Terminal and Trunkline Project China,China,22.5766,114.4364
Yuedong (Jieyang) CNOOC LNG Terminal China,China,22.9348,116.37143
Zhuhai LNG Terminal China,China,21.90599,113.219326
Shenzhen Diefu CNOOC LNG Terminal China,China,22.59379,114.44446
